YEAR,SPECIES,METRIC.TONS,POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICEperLB,NUM_LICENSE_HOLDERS,NUM_TRAPS_MILLIONS,WATER_TEMP_BOOTHBAY_HARBOR_C
1963,"LOBSTER, AMERICAN",10343.856483191,22804300,22.8043,"$12,635,826",12.6358,$0.55,"5,695",0.731,8.8
1964,"LOBSTER, AMERICAN",9489.469895059001,20920700,20.9207,"$13,878,286",13.8783,$0.66,"5,803",0.754,8.3
1965,"LOBSTER, AMERICAN",8555.568564465999,18861800,18.8618,"$14,177,204",14.1772,$0.75,"5,802",0.789,7.7
1966,"LOBSTER, AMERICAN",9033.654922446001,19915800,19.9158,"$14,904,498",14.9045,$0.75,"5,613",0.776,7.6
1967,"LOBSTER, AMERICAN",7479.3753074040005,16489200,16.4892,"$13,597,869",13.5979,$0.82,"5,425",0.715,7.3
1968,"LOBSTER, AMERICAN",9299.414692029,20501700,20.5017,"$14,931,671",14.9317,$0.73,"5,489",0.747,8.1
1969,"LOBSTER, AMERICAN",8996.913940476,19834800,19.8348,"$16,046,829",16.0468,$0.81,"5,750",0.805,8.9
1970,"LOBSTER, AMERICAN",8242.816625351,18172300,18.1723,"$17,201,501",17.2015,$0.95,"6,316",1.18,8.9
1971,"LOBSTER, AMERICAN",7964.356269408,17558400,17.5584,"$17,481,291",17.4813,$1.00,"6,702",1.278,8.7
1972,"LOBSTER, AMERICAN",7373.824362905,16256499.999999998,16.2565,"$18,587,455",18.5875,$1.14,"7,045",1.448,8.4
1973,"LOBSTER, AMERICAN",7731.119072754001,17044200,17.0442,"$23,269,859",23.2699,$1.37,"7,894",1.172,8.8
1974,"LOBSTER, AMERICAN",7465.087147749,16457700,16.4577,"$23,212,808",23.2128,$1.41,"10,523",1.79,9.2
1975,"LOBSTER, AMERICAN",7491.350145972,16515600,16.5156,"$26,520,134",26.5201,$1.61,"10,455",1.771,9.4
1976,"LOBSTER, AMERICAN",8618.753981607,19001100,19.0011,"$29,238,371",29.2384,$1.54,"9,041",1.754,9.3
1977,"LOBSTER, AMERICAN",8385.607503427002,18487100,18.4871,"$32,101,423",32.1014,$1.74,"8,827",1.739,8.7
1978,"LOBSTER, AMERICAN",8677.448834285002,19130500,19.1305,"$33,878,376",33.8784,$1.77,"8,712",1.723,8.0
1979,"LOBSTER, AMERICAN",10039.450643684,22133200,22.1332,"$39,900,632",39.9006,$1.80,"8,600",1.81,8.9
1980,"LOBSTER, AMERICAN",9973.090079952999,21986900,21.9869,"$41,729,114",41.7291,$1.90,"9,200",1.846,8.0
1981,"LOBSTER, AMERICAN",10265.521080892,22631600,22.6316,"$47,236,923",47.2369,$2.09,"8,548",1.825,8.4
1982,"LOBSTER, AMERICAN",10310.290647811,22730300,22.7303,"$50,343,596",50.3436,$2.21,"8,891",2.143,9.0
1983,"LOBSTER, AMERICAN",9968.418078542001,21976600,21.9766,"$51,234,291",51.2343,$2.33,"8,895",2.34,8.8
1984,"LOBSTER, AMERICAN",8865.780386309001,19545700,19.5457,"$49,298,135",49.2981,$2.52,"8,730",2.175,8.7
1985,"LOBSTER, AMERICAN",9128.637164724,20125200,20.1252,"$45,035,558",45.0356,$2.24,"4,789",1.766,9.0
1986,"LOBSTER, AMERICAN",8937.720136191001,19704300,19.7043,"$46,171,224",46.1712,$2.34,"4,840",1.595,8.5
1987,"LOBSTER, AMERICAN",8957.451404286001,19747800,19.7478,"$54,548,137",54.5481,$2.76,"5,285",1.909,8.2
1988,"LOBSTER, AMERICAN",9860.689890667001,21739100,21.7391,"$60,742,438",60.7424,$2.79,"5,627",2.053,8.5
1989,"LOBSTER, AMERICAN",10599.864016819001,23368700,23.3687,"$59,552,211",59.5522,$2.55,"6,172",2.001,8.2
1990,"LOBSTER, AMERICAN",12731.521359634002,28068200,28.0682,"$61,627,973",61.6280,$2.20,"6,617",2.13,9.2
1991,"LOBSTER, AMERICAN",13965.474042982,30788600,30.7886,"$72,265,347",72.2653,$2.35,"6,839",2.015,9.2
1992,"LOBSTER, AMERICAN",12170.064724048001,26830400,26.8304,"$71,822,699",71.8227,$2.68,"6,063",2.012,8.9
1993,"LOBSTER, AMERICAN",13574.432060805,29926500,29.9265,"$73,863,438",73.8634,$2.47,"5,836",1.806,8.5
1994,"LOBSTER, AMERICAN",17666.923859893002,38948900,38.9489,"$100,936,678",100.9367,$2.59,"6,247",2.785,9.3
1995,"LOBSTER, AMERICAN",16877.400980671002,37208300,37.2083,"$101,893,173",101.8932,$2.74,"7,469",2.408,9.8
1996,"LOBSTER, AMERICAN",16367.154923658,36083400,36.0834,"$106,980,557",106.9806,$2.96,"6,992",2.445,9.2
1997,"LOBSTER, AMERICAN",21329.410092221002,47023300,47.0233,"$138,292,438",138.2924,$2.94,"7,118",2.587,9.0
1998,"LOBSTER, AMERICAN",21335.533589216,47036800,47.0368,"$137,189,341",137.1893,$2.92,"6,937",2.837,9.2
1999,"LOBSTER, AMERICAN",24264.651677728,53494400,53.4944,"$184,614,071",184.6141,$3.45,"6,794",3.051,9.9
2000,"LOBSTER, AMERICAN",25952.468886498,57215400,57.2154,"$187,714,817",187.7148,$3.28,"6,873",2.773,9.9
2001,"LOBSTER, AMERICAN",22052.617766949,48617700,48.6177,"$153,982,266",153.9823,$3.17,"6,831",2.961,10.0
2002,"LOBSTER, AMERICAN",28860.132055909,63625700,63.6257,"$210,950,030",210.9500,$3.32,"6,799",3.085,10.6
2003,"LOBSTER, AMERICAN",24934.380812033,54970900,54.9709,"$205,715,329",205.7153,$3.74,"6,822",3.197,10.1
2004,"LOBSTER, AMERICAN",32465.511008854002,71574200,71.5742,"$289,078,847",289.0788,$4.04,"6,799",3.227,10.2
2005,"LOBSTER, AMERICAN",31175.358230863003,68729900,68.7299,"$317,948,336",317.9483,$4.63,"6,720",3.276,11.2
2006,"LOBSTER, AMERICAN",34176.279991546,75345800,75.3458,"$305,439,420",305.4394,$4.05,"6,614",3.283,12.5
2007,"LOBSTER, AMERICAN",29019.02546312,63976000,63.976,"$280,648,419",280.6484,$4.39,"6,498",3.264,9.3
2008,"LOBSTER, AMERICAN",31709.962198145004,69908500,69.9085,"$245,150,026",245.1500,$3.51,"6,295",3.160,9.8
2009,"LOBSTER, AMERICAN",36820.179197802,81174600,81.1746,"$237,536,890",237.5369,$2.93,"6,055",3.089,9.5
2010,"LOBSTER, AMERICAN",43639.577606856,96208800,96.2088,"$318,052,441",318.0524,$3.31,"5,913",3.009,10.4
2011,"LOBSTER, AMERICAN",47593.043344539,104924700,104.9247,"$334,539,734",334.5397,$3.19,"5,931",2.972,10.3
2012,"LOBSTER, AMERICAN",57752.015577718004,127321400,127.3214,"$342,079,520",342.0795,$2.69,"5,934",2.962,10.6
2013,"LOBSTER, AMERICAN",57972.915061908,127808400,127.8084,"$370,383,982",370.3840,$2.90,"5,793",2.922,9.5
2014,"LOBSTER, AMERICAN",56393.279633383005,124325900,124.3259,"$459,508,386",459.5084,$3.70,"5,773",2.906,9.3
2015,"LOBSTER, AMERICAN",55639.182318258,122663400,122.6634,"$502,450,309",502.4503,$4.10,"6,014",2.922,8.9
2016,"LOBSTER, AMERICAN",60096.815975196005,132490800,132.4908,"$540,183,010",540.1830,$4.08,"6,009",2.946,10.4
2017,"LOBSTER, AMERICAN",50794.316855051,111982300,111.9823,"$438,515,983",438.5160,$3.92,"5,997",2.954,9.9
2018,"LOBSTER, AMERICAN",55030.37063924401,121321200,121.3212,"$491,586,857",491.5869,$4.05,"5,925",2.929,10.4
2019,"LOBSTER, AMERICAN",45688.09146825,100725000,100.725,"$485,405,036",485.4050,$4.82,"5,834",3.004,9.9
